airport_identifier,airport_size,airport_name,elevation_ft,continent,country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
03N,small_airport,Utirik Airport,4.0,OC,MH,MH-UTI,Utirik Island,K03N,UTK,03N,"169.852005, 11.222"
07FA,small_airport,Ocean Reef Club Airport,8.0,NA,US,US-FL,Key Largo,07FA,OCA,07FA,"-80.274803161621, 25.325399398804"
0AK,small_airport,Pilot Station Airport,305.0,NA,US,US-AK,Pilot Station,,PQS,0AK,"-162.899994, 61.934601"
0CO2,small_airport,Crested Butte Airpark,8980.0,NA,US,US-CO,Crested Butte,0CO2,CSE,0CO2,"-106.928341, 38.851918"
0TE7,small_airport,LBJ Ranch Airport,1515.0,NA,US,US-TX,Johnson City,0TE7,JCY,0TE7,"-98.62249755859999, 30.251800537100003"
13MA,small_airport,Metropolitan Airport,418.0,NA,US,US-MA,Palmer,13MA,PMX,13MA,"-72.31140136719999, 42.223300933800004"
16A,small_airport,Nunapitchuk Airport,12.0,NA,US,US-AK,Nunapitchuk,PPIT,NUP,16A,"-162.440454, 60.905591"
19AK,small_airport,Icy Bay Airport,50.0,NA,US,US-AK,Icy Bay,19AK,ICY,19AK,"-141.662002563, 59.96900177"
1KC,small_airport,Kalakaket Creek AS Airport,1598.0,NA,US,US-AK,Kalakaket Creek,1KC,KKK,1KC,"-156.820392609, 64.4166256967"
1O6,small_airport,Dunsmuir Muni-Mott Airport,3258.0,NA,US,US-CA,Dunsmuir,KMHS,MHS,1O6,"-122.272003, 41.263199"
1Z1,small_airport,Grand Canyon Bar Ten Airstrip,4100.0,NA,US,US-AZ,Whitmore,,GCT,1Z1,"-113.231003, 36.259701"
2AK,small_airport,Lime Village Airport,552.0,NA,US,US-AK,Lime Village,2AK,LVD,2AK,"-155.440002441, 61.3591003418"
2AK6,small_airport,Hog River Airport,534.0,NA,US,US-AK,Hogatza,2AK6,HGZ,2AK6,"-155.6690063, 66.2161026"
2IG4,small_airport,Ed-Air Airport,426.0,NA,US,US-IN,Oaktown,I20,OTN,I20,"-87.4997024536, 38.851398468"
2K5,small_airport,Telida Airport,650.0,NA,US,US-AK,Telida,2K5,TLF,2K5,"-153.26899719238, 63.393901824951"
2TE0,small_airport,Eagle Air Park,15.0,NA,US,US-TX,Brazoria,2TE0,BZT,2TE0,"-95.579696655273, 28.982200622559"
38WA,small_airport,Blakely Island Airport,66.0,NA,US,US-WA,Blakely Island,38WA,BYW,38WA,"-122.825996399, 48.578998565700005"
3AK5,small_airport,Drift River Airport,30.0,NA,US,US-AK,Kenai,3AK5,DRF,3AK5,"-152.162002563, 60.588901519800004"
3IS8,small_airport,Rinkenberger Restricted Landing Area,808.0,NA,US,US-IL,Bradford,3IS8,BDF,3IS8,"-89.61569976810001, 41.230899810800004"
3VS,small_airport,Roy Otten Memorial Airfield,1030.0,NA,US,US-MO,Versailles,3VS,VRS,3VS,"-92.875198364258, 38.427799224854"
4A2,small_airport,Atmautluak Airport,17.0,NA,US,US-AK,Atmautluak,,ATT,4A2,"-162.272995, 60.866699"
4AK,small_airport,Livengood Camp Airport,425.0,NA,US,US-AK,Livengood,4AK,LIV,4AK,"-148.6534, 65.467"
4K0,small_airport,Pedro Bay Airport,45.0,NA,US,US-AK,Pedro Bay,4K0,PDB,4K0,"-154.12399292, 59.7896003723"
4K5,small_airport,Ouzinkie Airport,55.0,NA,US,US-AK,Ouzinkie,,KOZ,4K5,"-152.496715, 57.925362"
